,R,G,B
400,0.0605,0.0704,0.2429
410,0.04687996,0.06122411,0.3182906
420,0.03563332,0.05372275,0.3851603
430,0.02676002,0.04789588,0.44350952
440,0.02027876,0.04419689,0.49302822
450,0.0166,0.0526,0.5269
460,0.01589167,0.07718548,0.5423363
470,0.01682222,0.13260333,0.53673637
480,0.0161368,0.25466397,0.5037431
490,0.01397649,0.440288,0.4436149
500,0.0167,0.5859,0.3684
510,0.02690864,0.64912814,0.28302726
520,0.03979417,0.6522202,0.19699267
530,0.04360312,0.6495597,0.1335088
540,0.03790569,0.6434468,0.09310442
550,0.02499991,0.6300999,0.06419986
560,0.005826,0.60797226,0.04205811
570,0.01835942,0.5752577,0.0267778
580,0.15542966,0.5275419,0.01860077
590,0.4129147,0.46469188,0.01727041
600,0.6073,0.3882,0.0169
610,0.66351146,0.2986767,0.01508131
620,0.6236862,0.20837703,0.01327676
630,0.5908248,0.14725776,0.01506111
640,0.5690196,0.11603077,0.02047346
650,0.5453,0.1004,0.0268
660,0.51436,0.09451748,0.03293049
670,0.46183142,0.09184141,0.03646783
680,0.35259247,0.07638084,0.03155245
