,R,G,B
400,0.0605,0.0704,0.2429
410,0.04688013,0.06128397,0.3182906
420,0.03563344,0.05376266,0.3851603
430,0.02675985,0.04783601,0.44350952
440,0.02027812,0.04397739,0.49302822
450,0.0166,0.0526,0.5269
460,0.01589394,0.07796378,0.5423363
470,0.01682526,0.13364094,0.53673637
480,0.01613136,0.25280914,0.5037429
490,0.01395506,0.43256593,0.4436145
500,0.01670004,0.5759006,0.36839956
510,0.02698596,0.6431275,0.2830267
520,0.03989732,0.6558591,0.19699217
530,0.0434187,0.66692483,0.1335089
540,0.03717788,0.6778795,0.09310484
550,0.02499992,0.67009985,0.06419986
560,0.00844973,0.6359675,0.04205661
570,0.02186169,0.58194155,0.0267758
580,0.14916484,0.523812,0.01860434
590,0.38655055,0.46192873,0.01728452
600,0.5663,0.3882,0.0169
610,0.6198008,0.29931566,0.01503046
620,0.58775616,0.20838962,0.01320888
630,0.56966215,0.14747833,0.01518251
640,0.56869763,0.11725201,0.02095264
650,0.5553,0.1004,0.0268
660,0.5173753,0.08984052,0.03120317
670,0.4549235,0.08557368,0.03416212
680,0.36794472,0.08759948,0.03567683
