,R,G,B
400,0,1.90E-06,2.93E-05
410,1.62E-07,1.12E-06,8.05E-05
420,1.90E-06,5.24E-06,0.000313702
430,7.14E-06,1.37E-05,0.00134039
440,1.91E-05,3.48E-05,0.00453072
450,3.35E-05,6.56E-05,0.00877189
460,2.94E-05,6.09E-05,0.00730061
470,8.87E-06,5.78E-05,0.00281272
480,3.81E-06,0.000199785,0.000732723
490,6.79E-06,0.00098188,0.00011607
500,1.52E-05,0.00235767,4.36E-05
510,2.39E-05,0.00337512,3.29E-05
520,2.55E-05,0.00377894,2.63E-05
530,2.57E-05,0.0039122,2.57E-05
540,2.36E-05,0.00388088,2.07E-05
550,2.24E-05,0.00367013,1.82E-05
560,2.30E-05,0.00329881,1.53E-05
570,2.38E-05,0.00289337,1.11E-05
580,3.03E-05,0.00237113,1.04E-05
590,7.15E-05,0.00156365,5.38E-06
600,0.000283191,0.000761427,6.82E-06
610,0.000960863,0.000222093,6.72E-06
620,0.00259947,6.11E-05,1.85E-05
630,0.00591094,6.05E-05,4.60E-05
640,0.00648286,6.03E-05,5.15E-05
650,0.0016542,2.07E-05,1.40E-05
660,0.000384777,7.29E-06,3.73E-06
670,0.000112691,5.42E-06,0
680,4.36E-05,4.61E-06,2.73E-07
